Time	I_src_A	I_src_B	I_src_C
1.9	0.00524881	0.381107	-0.386356
1.90005	-0.00171168	0.384612	-0.3829
1.9001	-0.00867174	0.388021	-0.379349
1.90015	-0.0156297	0.391335	-0.375705
1.9002	-0.0225837	0.394552	-0.371968
1.90025	-0.0295322	0.397672	-0.36814
1.9003	-0.0364735	0.400693	-0.36422
1.90035	-0.0434057	0.403616	-0.360211
1.9004	-0.0503272	0.406439	-0.356112
1.90045	-0.0572363	0.409162	-0.351926
1.9005	-0.0641312	0.411784	-0.347653
1.90055	-0.0710104	0.414305	-0.343294
1.9006	-0.077872	0.416723	-0.338851
1.90065	-0.0847144	0.419038	-0.334324
1.9007	-0.0915359	0.42125	-0.329714
1.90075	-0.0983348	0.423358	-0.325023
1.9008	-0.105109	0.425361	-0.320252
1.90085	-0.111858	0.42726	-0.315402
1.9009	-0.118579	0.429053	-0.310474
1.90095	-0.125271	0.43074	-0.305469
1.901	-0.131932	0.432321	-0.300389
1.90105	-0.138561	0.433796	-0.295235
1.9011	-0.145155	0.435163	-0.290008
1.90115	-0.151713	0.436423	-0.28471
1.9012	-0.158234	0.437575	-0.279341
1.90125	-0.164716	0.43862	-0.273904
1.9013	-0.171157	0.439556	-0.268398
1.90135	-0.177556	0.440383	-0.262827
1.9014	-0.183912	0.441102	-0.257191
1.90145	-0.190221	0.441712	-0.251491
1.9015	-0.196484	0.442213	-0.245729
1.90155	-0.202699	0.442606	-0.239907
1.9016	-0.208863	0.442888	-0.234025
1.90165	-0.214976	0.443062	-0.228086
1.9017	-0.221036	0.443126	-0.22209
1.90175	-0.227041	0.443081	-0.21604
1.9018	-0.232991	0.442927	-0.209936
1.90185	-0.238883	0.442663	-0.20378
1.9019	-0.244715	0.44229	-0.197575
1.90195	-0.250488	0.441808	-0.19132
1.902	-0.256199	0.441217	-0.185018
1.90205	-0.261846	0.440517	-0.178671
1.9021	-0.267429	0.439708	-0.172279
1.90215	-0.272946	0.438791	-0.165845
1.9022	-0.278395	0.437766	-0.15937
1.90225	-0.283776	0.436632	-0.152856
1.9023	-0.289087	0.435391	-0.146304
1.90235	-0.294327	0.434043	-0.139716
1.9024	-0.299494	0.432587	-0.133093
1.90245	-0.304587	0.431025	-0.126438
1.9025	-0.309604	0.429356	-0.119751
1.90255	-0.314546	0.427581	-0.113035
1.9026	-0.31941	0.425701	-0.106291
1.90265	-0.324195	0.423716	-0.0995211
1.9027	-0.3289	0.421626	-0.0927263
1.90275	-0.333524	0.419432	-0.0859086
1.9028	-0.338065	0.417135	-0.0790698
1.90285	-0.342523	0.414735	-0.0722114
1.9029	-0.346897	0.412232	-0.0653352
1.90295	-0.351185	0.409628	-0.0584429
1.903	-0.355387	0.406923	-0.0515361
1.90305	-0.3595	0.404117	-0.0446167
1.9031	-0.363525	0.401212	-0.0376862
1.90315	-0.367461	0.398207	-0.0307465
1.9032	-0.371305	0.395105	-0.0237991
1.90325	-0.375059	0.391904	-0.0168459
1.9033	-0.378719	0.388608	-0.00988852
1.90335	-0.382286	0.385215	-0.00292871
1.9034	-0.385759	0.381727	0.00403183
1.90345	-0.389137	0.378145	0.0109914
1.9035	-0.392418	0.37447	0.0179482
1.90355	-0.395603	0.370702	0.0249006
1.9036	-0.39869	0.366843	0.0318469
1.90365	-0.401679	0.362893	0.0387853
1.9037	-0.404568	0.358854	0.0457141
1.90375	-0.407358	0.354727	0.0526317
1.9038	-0.410048	0.350511	0.0595362
1.90385	-0.412636	0.34621	0.0664261
1.9039	-0.415122	0.341822	0.0732996
1.90395	-0.417506	0.337351	0.080155
1.904	-0.419787	0.332796	0.0869906
1.90405	-0.421964	0.328159	0.0938048
1.9041	-0.424037	0.323442	0.100596
1.90415	-0.426006	0.318644	0.107362
1.9042	-0.42787	0.313768	0.114102
1.90425	-0.429627	0.308814	0.120813
1.9043	-0.431279	0.303784	0.127495
1.90435	-0.432825	0.298679	0.134145
1.9044	-0.434264	0.293501	0.140762
1.90445	-0.435595	0.28825	0.147345
1.9045	-0.436819	0.282928	0.153891
1.90455	-0.437935	0.277536	0.160399
1.9046	-0.438944	0.272076	0.166868
1.90465	-0.439844	0.266548	0.173295
1.9047	-0.440635	0.260955	0.17968
1.90475	-0.441318	0.255298	0.18602
1.9048	-0.441892	0.249577	0.192314
1.90485	-0.442356	0.243795	0.198561
1.9049	-0.442712	0.237953	0.204759
1.90495	-0.442958	0.232052	0.210907
1.905	-0.443096	0.226093	0.217002
1.90505	-0.443123	0.220079	0.223044
1.9051	-0.443042	0.214011	0.229031
