Time	voltage_A	voltage_B	voltage_C
1.9	-1.39904	-76.6827	78.0818
1.90005	0.00463805	-77.3941	77.3894
1.9001	1.40831	-78.0863	76.678
1.90015	2.81164	-78.7593	75.9476
1.9002	4.21427	-79.4128	75.1985
1.90025	5.61586	-80.0467	74.4309
1.9003	7.01607	-80.6609	73.6448
1.90035	8.41454	-81.2552	72.8406
1.9004	9.81094	-81.8294	72.0185
1.90045	11.2049	-82.3834	71.1785
1.9005	12.5961	-82.9172	70.321
1.90055	13.9842	-83.4304	69.4462
1.9006	15.3689	-83.9231	68.5542
1.90065	16.7498	-84.3951	67.6453
1.9007	18.1265	-84.8462	66.7197
1.90075	19.4987	-85.2764	65.7777
1.9008	20.8662	-85.6856	64.8194
1.90085	22.2285	-86.0736	63.8451
1.9009	23.5853	-86.4404	62.8551
1.90095	24.9363	-86.7858	61.8495
1.901	26.2811	-87.1099	60.8287
1.90105	27.6195	-87.4124	59.7929
1.9011	28.951	-87.6934	58.7424
1.90115	30.2754	-87.9528	57.6773
1.9012	31.5924	-88.1904	56.598
1.90125	32.9015	-88.4063	55.5048
1.9013	34.2025	-88.6004	54.3979
1.90135	35.4951	-88.7726	53.2775
1.9014	36.7789	-88.9229	52.144
1.90145	38.0537	-89.0513	50.9976
1.9015	39.319	-89.1577	49.8386
1.90155	40.5747	-89.2421	48.6674
1.9016	41.8203	-89.3044	47.4841
1.90165	43.0556	-89.3448	46.2892
1.9017	44.2803	-89.3631	45.0828
1.90175	45.4941	-89.3593	43.8652
1.9018	46.6967	-89.3336	42.6369
1.90185	47.8877	-89.2857	41.398
1.9019	49.0669	-89.2158	40.1489
1.90195	50.234	-89.124	38.8899
1.902	51.3887	-89.0101	37.6214
1.90205	52.5308	-88.8743	36.3435
1.9021	53.6598	-88.7165	35.0567
1.90215	54.7757	-88.5369	33.7612
1.9022	55.878	-88.3354	32.4574
1.90225	56.9665	-88.1121	31.1455
1.9023	58.041	-87.867	29.826
1.90235	59.1011	-87.6003	28.4992
1.9024	60.1467	-87.312	27.1653
1.90245	61.1775	-87.0021	25.8247
1.9025	62.1931	-86.6708	24.4777
1.90255	63.1934	-86.3181	23.1247
